s,row_red,col_red,std_mat,lat_red_row,theo_col
1,0.000816809,0.001287834,0.001069256,0.000296663,81920.0
201,0.115517027,0.13415744,0.16872963,0.021470818,8.27392e6
401,0.237467682,0.266010753,0.313268023,0.043144921,1.646592e7
601,0.353171707,0.388997711,0.469064697,0.070902711,2.465792e7
801,0.471533048,0.517406331,0.625413499,0.083705792,3.284992e7
1001,0.591213528,0.640347137,0.785044529,0.102811159,4.104192e7
1201,0.724219642,0.762088099,0.938958663,0.122213953,4.923392e7
1401,0.824152799,0.891349763,1.097836596,0.143915396,5.742592e7
