s,row_red,col_red,std_mat,lat_red_row,theo_col
1,0.000821055,0.001288561,0.001068589,0.000300308,81920.0
201,0.087907068,0.070812386,0.161695876,0.010867829,4.46464e6
401,0.190651589,0.138795966,0.319373963,0.022377507,8.56064e6
601,0.280059284,0.190650249,0.470670139,0.031175503,1.173504e7
801,0.355179183,0.221676583,0.628866405,0.035847489,1.378304e7
1001,0.445419344,0.251472918,0.784516461,0.039773974,1.583104e7
1201,0.526066562,0.280629686,0.939465936,0.04689893,1.787904e7
1401,0.554461287,0.313594572,1.105744795,0.050391673,1.992704e7
