s,row_red,col_red,std_mat,lat_red_row
1,0.000817012,0.001360046,0.001113805,0.000298943
201,0.072602811,0.010401708,0.176247476,0.001479358
401,0.133975931,0.011690793,0.34984277,0.001960756
601,0.222427561,0.012891161,0.527834053,0.002127326
801,0.284682884,0.012701223,0.6915734,0.002266192
1001,0.382674616,0.014025605,0.864838889,0.002471104
1201,0.439150255,0.014038988,1.059934628,0.002855499
1401,0.496661371,0.017601411,1.277368173,0.002972499
