m,row_red,col_red,std_mat,lat_red_row
1,5.367195767195767e-7,6.98523178807947e-7,0.000103962,0.000389225
3,4.007714285714286e-6,6.1988e-6,0.000306329,0.000391229
5,4.3392e-5,3.871e-5,0.001811232,0.000398943
7,0.000625198,0.000232565,0.010099959,0.000434546
9,0.016410074,0.001295339,0.055769466,0.000598403
